RunId,social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,gumbel_plus_mean,gumbel_plus_std,gumbel_minus_mean,gumbel_minus_std,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
22,4.482715553604066,18.40053393971175,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,150.7,152.0,106.1,53.3
23,4.482715553604066,21.776040270924568,21.300641633570194,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,151.0,152.0,0.0,34.8
24,4.482715553604066,21.776040270924568,0.978250615298748,0.37232614411041143,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,150.6,152.0,116.5,64.3
25,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.5281539658084512,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.46703006111085416,150.1,152.0,112.1,67.4
26,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,1.049583746585995,0.4707360192015767,0.9337981299124658,0.46703006111085416,151.6,152.0,97.2,27.9
27,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.31078203666955234,0.9337981299124658,0.46703006111085416,152.0,152.0,108.4,51.2
28,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.683201857060194,0.46703006111085416,150.8,152.0,104.5,35.4
29,4.482715553604066,21.776040270924568,0.978250615298748,0.5924194362945855,0.6502016351558269,0.6061669772490859,0.4707360192015767,0.9337981299124658,0.8582263184338809,150.1,152.0,115.1,68.7
30,4.482715553604066,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,151.8,152.0,0.0,3.7
31,1.4041896536946297,21.776040270924568,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,146.3,146.4,0.0,0.0
32,1.4041896536946297,18.40053393971175,0.978250615298748,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,125.5,127.2,38.0,12.1
33,1.4041896536946297,18.40053393971175,21.300641633570194,0.5924194362945855,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,122.3,124.8,0.0,0.1
34,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.6502016351558269,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,119.2,128.4,0.0,0.1
35,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,0.6061669772490859,0.31078203666955234,0.683201857060194,0.8582263184338809,115.6,118.0,0.0,0.1
36,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.4707360192015767,0.683201857060194,0.8582263184338809,97.5,120.7,0.0,0.0
37,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.9337981299124658,0.8582263184338809,118.1,130.0,0.0,0.0
38,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.46703006111085416,127.4,130.2,0.0,0.1
39,1.4041896536946297,18.40053393971175,21.300641633570194,0.37232614411041143,0.5281539658084512,1.049583746585995,0.31078203666955234,0.683201857060194,0.8582263184338809,137.6,142.0,0.0,0.1
40,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,61.2,61.6,3.5,1.0
41,0.12116920668631792,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,26.9,33.0,0.0,0.0
42,2.920057913288474,21.46096706856042,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,148.0,148.3,3.6,1.1
43,2.920057913288474,7.748735905624926,18.6779874144122,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,69.4,69.7,0.0,2.3
44,2.920057913288474,7.748735905624926,14.164367015473545,0.6434670872986317,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,81.3,81.4,1.2,1.3
45,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.7690572630614043,0.9854743456467987,0.66412084184587,0.8322460108343512,0.4365820457041264,58.7,59.1,2.0,1.4
46,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.5854350417852402,0.66412084184587,0.8322460108343512,0.4365820457041264,97.6,99.0,9.5,8.7
47,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.7736701675504446,0.8322460108343512,0.4365820457041264,83.0,84.0,4.3,3.6
48,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.5098465185146779,0.4365820457041264,52.8,52.9,1.1,0.5
49,2.920057913288474,7.748735905624926,14.164367015473545,0.07987740403041244,0.9920960995368661,0.9854743456467987,0.66412084184587,0.8322460108343512,0.6052539553493261,70.5,70.8,2.8,1.8
50,2.920057913288474,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,151.7,152.0,0.0,8.4
51,0.12116920668631792,7.748735905624926,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,25.0,29.4,0.0,0.0
52,0.12116920668631792,21.46096706856042,14.164367015473545,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,135.8,140.1,0.0,0.0
53,0.12116920668631792,21.46096706856042,18.6779874144122,0.07987740403041244,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,132.9,141.4,0.0,0.1
54,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.9920960995368661,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,131.3,143.1,0.0,0.0
55,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.9854743456467987,0.7736701675504446,0.5098465185146779,0.6052539553493261,138.0,143.8,0.0,0.1
56,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.66412084184587,0.5098465185146779,0.6052539553493261,130.5,145.7,0.0,0.0
57,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.8322460108343512,0.6052539553493261,137.5,145.8,0.0,0.0
58,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.4365820457041264,133.3,138.6,0.0,0.1
59,0.12116920668631792,21.46096706856042,18.6779874144122,0.6434670872986317,0.7690572630614043,0.5854350417852402,0.7736701675504446,0.5098465185146779,0.6052539553493261,141.3,145.8,0.0,0.0
60,2.3424593405798078,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,142.2,142.6,13.0,4.3
61,2.820704998448491,18.662310321815312,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,147.3,147.7,13.3,4.4
62,2.3424593405798078,11.642358545213938,11.718831863254309,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,115.0,115.1,10.7,1.8
63,2.3424593405798078,18.662310321815312,0.0531165162101388,0.8522265980020166,0.35067752851173284,1.3618512948043646,0.3375135370716453,0.651062932247296,0.9962826447561384,145.2,146.2,54.4,19.0
