Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
72,70,125,68,63,75,68,78,71,80,91,91,58,83,105,77,105,70,67,103,74,74,77,77,67,90,70,79,72,81
72,70,125,69,63,75,68,78,71,81,91,91,58,85,105,77,105,70,68,103,74,74,77,77,68,90,70,79,72,81
73,71,125,70,63,75,69,79,71,81,91,91,58,85,105,77,105,70,69,103,75,77,77,77,69,92,70,79,72,81
74,71,125,71,63,75,70,79,71,83,91,91,59,85,105,77,105,72,69,103,75,77,77,77,73,92,70,79,73,81
74,72,125,72,63,76,70,80,71,83,91,92,60,85,105,78,105,72,69,103,75,77,77,77,73,92,71,79,75,81
75,72,126,75,64,76,70,81,71,83,92,92,61,85,106,78,105,72,69,103,76,77,77,77,73,92,72,79,75,81
76,72,126,75,65,76,70,81,71,83,92,92,61,85,106,78,105,73,69,104,77,77,77,77,73,93,72,79,76,82
76,73,126,79,65,76,70,81,71,83,92,92,62,85,106,78,105,73,69,104,77,77,79,77,73,93,73,79,76,82
76,73,126,79,66,78,70,81,71,83,92,92,63,86,106,78,106,75,69,105,79,78,80,77,74,93,74,80,76,82
76,73,126,80,66,79,70,81,71,84,92,92,63,87,106,78,106,76,69,105,79,80,80,77,74,93,74,80,76,82
76,73,126,81,66,79,70,81,71,84,92,92,64,87,106,79,106,76,69,105,80,80,80,78,74,93,74,81,76,82
76,73,126,82,67,80,70,81,71,84,92,93,66,87,106,79,106,76,70,105,80,80,81,78,74,93,76,82,77,83
78,73,126,85,68,80,71,82,72,84,92,93,67,87,107,79,106,77,71,106,80,80,81,78,74,93,76,82,78,83
79,74,126,86,68,80,71,83,72,84,93,93,68,87,107,79,108,77,71,106,80,81,81,78,74,94,77,82,78,83
79,74,126,87,68,80,71,84,72,84,93,94,69,87,107,81,109,78,71,106,81,81,81,78,74,94,77,83,79,83
79,74,126,88,68,81,72,85,72,84,94,94,69,89,107,81,109,79,73,106,82,81,81,78,74,95,77,83,81,84
79,75,126,91,69,81,73,85,72,84,94,94,69,90,108,81,109,81,74,107,82,82,82,78,75,95,79,83,82,85
79,75,126,91,69,81,73,86,72,85,94,94,69,91,108,81,111,82,74,107,82,83,82,78,75,95,79,84,82,85
80,76,126,91,69,82,73,86,72,85,94,94,69,91,108,81,111,82,75,107,82,84,83,79,75,95,80,84,82,85
