Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
7,17,26,21,30,19,18,17,6,11,15,9,13,36,11,15,9,15,19,9,12,17,18,13,12,21,47,12,11,14
8,17,26,21,30,19,18,18,7,11,15,9,14,36,11,15,9,15,19,10,13,17,18,13,12,21,48,12,11,14
8,17,26,21,30,19,19,18,7,12,16,9,16,36,11,15,9,15,19,10,13,17,18,13,12,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,10,16,36,11,15,9,15,19,10,13,17,19,13,12,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,11,18,36,12,15,9,15,20,10,13,17,19,13,15,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,12,18,36,13,15,9,15,20,10,13,17,19,13,15,21,48,12,11,15
8,17,26,22,30,21,19,18,7,13,17,12,18,37,13,16,9,15,22,10,13,17,19,13,15,21,48,12,11,15
8,17,26,22,30,21,19,18,7,13,17,12,18,38,13,16,9,15,22,10,13,17,19,13,17,21,48,12,11,15
8,17,26,22,30,21,19,18,8,13,17,12,19,38,13,16,9,15,23,11,13,17,19,13,17,21,48,13,11,15
8,17,26,22,30,21,19,19,8,13,17,12,19,38,13,17,9,15,23,11,13,17,19,13,18,22,48,13,11,15
8,18,26,22,30,21,19,19,8,13,17,13,19,38,13,17,9,15,24,11,13,17,20,13,18,22,48,13,12,16
8,18,26,22,30,21,19,20,8,13,17,13,19,38,14,17,9,15,24,11,13,17,20,13,19,22,48,13,12,16
8,18,26,22,30,22,19,20,9,13,17,14,19,38,14,17,9,15,24,12,13,17,22,13,19,23,48,13,12,16
8,18,26,22,30,22,19,20,9,14,17,14,19,38,14,17,9,15,24,12,13,17,24,13,19,23,48,13,12,16
9,18,27,22,30,22,19,20,9,14,17,15,19,38,14,17,10,15,24,12,13,17,24,13,19,24,48,13,12,16
9,18,27,23,30,22,19,20,9,14,17,15,19,38,14,17,10,15,24,12,14,17,25,13,21,24,48,13,12,16
9,19,27,23,30,22,19,20,9,14,17,16,19,38,15,17,10,15,25,12,14,17,27,13,22,24,48,13,13,16
9,19,27,23,30,22,20,20,9,14,18,16,19,38,15,17,10,15,25,12,14,17,30,13,22,25,48,13,13,16
9,19,27,23,30,22,20,20,9,14,19,16,19,38,15,17,10,15,25,12,15,18,31,13,22,26,48,13,13,16
10,19,28,23,30,22,20,20,9,14,20,16,20,38,16,17,10,15,25,12,16,18,33,13,22,26,48,14,13,16
10,19,28,23,30,22,20,20,9,14,20,16,20,38,16,17,10,15,25,12,16,18,34,13,22,26,48,14,13,16
10,19,28,23,30,22,20,20,9,14,20,16,20,39,16,17,10,15,25,12,16,18,37,13,22,26,48,14,14,17
10,19,28,23,30,22,20,20,9,14,20,16,20,39,16,17,10,16,25,12,16,18,37,13,22,26,48,14,14,17
10,19,28,23,30,22,20,21,9,15,20,16,20,40,16,17,10,16,25,12,16,18,39,13,22,26,48,14,14,17
10,19,28,23,30,22,20,21,9,15,20,16,20,40,16,17,10,16,25,12,17,18,39,13,22,27,48,14,14,17
10,19,28,23,30,22,20,21,9,15,21,16,21,40,16,17,11,16,25,13,17,19,39,13,22,27,48,14,14,17
11,19,28,23,30,22,20,21,9,15,21,16,21,40,17,17,11,16,25,14,17,19,40,13,22,28,48,15,14,17
11,20,28,23,30,22,20,21,9,15,21,17,21,40,17,17,11,16,25,18,17,19,42,13,22,29,48,15,14,17
11,20,28,23,30,22,20,21,9,15,21,18,22,40,17,18,11,16,25,19,17,19,45,13,22,29,48,16,14,17
11,20,28,24,30,22,20,21,9,15,21,18,22,40,18,18,11,16,26,19,17,19,48,13,22,29,48,16,14,17
11,20,28,24,30,22,20,21,9,15,21,18,22,40,18,19,11,16,26,20,17,19,48,13,22,29,48,16,14,17
11,20,29,24,30,22,20,21,9,15,21,19,22,40,18,19,11,16,26,22,17,19,49,13,22,30,48,16,14,17
11,20,29,24,31,22,20,21,10,15,21,19,22,40,18,19,11,16,26,24,17,20,50,13,22,30,48,16,14,17
12,21,29,24,31,22,20,21,10,15,21,19,22,40,18,19,11,16,26,25,17,20,53,13,22,30,48,16,15,17
12,21,29,24,31,22,20,21,10,15,21,19,22,40,19,19,12,16,26,25,18,20,56,13,22,30,48,16,15,17
12,21,29,24,31,22,20,21,11,15,21,19,22,41,19,19,12,16,26,26,18,20,56,13,22,30,48,16,15,17
12,21,29,24,31,23,20,21,11,15,21,19,23,41,19,19,12,16,26,29,18,21,56,13,22,30,48,16,15,17
12,21,29,24,31,23,20,21,11,15,21,19,23,41,19,19,12,16,26,30,18,21,57,14,22,30,48,16,15,17
12,22,29,24,31,23,21,21,12,16,21,19,23,41,19,19,12,16,26,30,18,22,57,15,22,30,48,16,15,17
12,22,29,24,31,23,21,21,12,16,21,19,24,41,19,19,12,16,26,30,18,22,58,15,22,30,48,16,15,17
12,22,29,24,31,23,21,21,12,16,21,19,24,41,19,19,12,17,26,30,18,22,61,16,22,30,48,16,15,17
12,22,29,24,31,23,21,21,12,16,21,19,24,42,19,19,12,17,26,31,18,22,61,16,22,31,49,16,17,18
12,22,29,24,32,24,21,21,12,16,21,19,25,42,19,19,12,17,26,33,18,22,61,17,22,31,49,16,17,18
12,22,29,24,33,24,21,21,12,16,22,19,25,42,19,19,12,17,26,35,18,22,61,17,22,31,49,16,17,18
12,22,29,24,33,24,21,21,12,16,23,19,25,42,19,19,12,17,26,35,18,22,64,18,22,31,49,16,17,18
12,22,29,24,33,24,21,21,12,16,23,19,25,42,19,19,13,17,26,35,18,22,65,19,22,31,49,16,18,18
12,22,29,24,33,24,21,21,12,16,23,19,26,42,19,19,13,17,26,36,18,22,65,19,23,31,49,16,18,18
12,22,29,24,33,24,21,21,12,16,23,19,26,42,19,19,13,17,27,37,18,23,65,19,23,31,49,16,18,18
12,22,29,24,33,24,21,21,12,16,23,19,26,42,19,19,13,17,27,37,18,23,65,19,24,31,49,16,18,18
12,22,29,24,33,25,21,21,13,16,23,19,27,42,19,19,13,17,27,38,18,23,65,19,24,31,49,16,18,18
12,22,29,25,33,25,21,23,13,16,23,20,27,42,19,19,13,17,27,38,18,23,65,19,24,31,49,16,18,18
12,22,29,25,33,25,21,24,13,16,23,20,27,42,19,19,15,18,27,39,18,23,65,19,25,31,49,16,18,18
12,22,29,26,33,25,22,24,13,16,23,20,27,42,20,19,15,18,27,41,18,23,65,19,25,31,49,16,18,18
12,22,29,26,33,25,22,24,13,16,23,20,27,42,20,19,15,18,28,42,18,23,65,19,25,31,49,16,18,18
12,23,29,26,33,25,22,24,13,16,23,20,28,42,21,19,15,19,29,44,18,23,65,19,26,31,49,16,18,18
