Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
26,26,44,31,34,36,29,41,21,27,32,17,25,23,25,29,21,20,23,17,41,32,35,31,32,32,26,29,28,24
26,26,44,31,34,36,29,41,21,27,32,17,26,23,25,29,21,20,23,17,41,33,36,31,32,32,26,29,29,24
27,27,44,31,35,36,29,41,21,27,32,17,26,23,25,29,21,20,23,17,42,33,36,32,33,32,26,29,30,24
28,27,44,31,35,36,29,41,21,28,32,17,26,23,25,30,21,20,23,18,42,34,37,32,33,32,26,29,30,24
28,27,44,31,35,37,29,41,21,28,32,17,27,23,25,31,21,21,23,18,42,34,37,32,33,32,27,29,30,24
28,27,44,33,35,37,29,41,21,28,32,17,27,23,26,33,21,21,24,18,42,34,37,32,34,32,27,29,30,24
28,27,44,33,35,37,29,41,21,28,33,17,27,24,26,33,21,21,24,18,42,34,37,32,34,32,27,29,30,24
28,27,44,35,35,37,29,41,21,28,33,17,27,24,26,34,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,35,35,37,29,41,21,28,33,17,27,24,27,34,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,36,35,37,29,41,21,28,33,17,27,24,27,35,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,29,41,21,28,34,17,27,24,27,35,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,29,41,21,28,34,17,27,24,27,35,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,29,41,21,28,34,17,27,24,27,36,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,29,41,21,28,34,17,27,24,27,36,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,30,41,21,28,34,17,27,24,27,37,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,44,37,35,37,30,41,21,28,34,17,27,24,27,38,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,45,37,35,37,30,41,21,28,34,17,27,24,27,40,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,45,37,35,37,30,41,21,28,34,17,27,24,27,42,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,45,37,35,37,30,41,21,28,34,17,27,24,27,42,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,45,37,35,37,30,41,21,28,34,17,27,24,31,42,22,21,25,18,42,34,37,32,34,32,27,29,30,24
28,27,45,37,35,37,30,41,21,29,34,17,27,24,31,42,22,21,25,18,42,34,37,32,34,32,27,29,30,25
28,27,45,37,35,37,30,41,21,29,34,17,27,24,31,42,22,21,25,18,42,34,37,32,34,32,27,29,30,25
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,42,22,21,25,18,42,34,37,32,34,33,27,29,30,26
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,42,22,21,25,18,42,34,37,32,34,33,27,29,30,26
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,43,22,21,25,18,42,34,37,32,34,33,27,29,30,29
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,43,22,21,25,18,42,34,37,32,34,34,27,29,30,29
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,43,22,21,25,18,42,34,37,32,34,34,27,29,30,29
28,27,45,37,35,37,31,41,21,30,34,17,27,24,31,43,22,21,25,18,42,34,37,32,34,34,27,29,30,29
28,27,45,37,35,37,31,41,21,30,34,17,27,24,32,43,22,21,25,18,42,34,37,32,34,34,27,29,30,29
28,27,45,37,35,37,31,41,21,30,34,17,27,24,32,43,22,21,25,18,42,34,37,32,34,35,27,29,30,29
