RunId,iteration,Step,social_radius,fire_radius,exits,p_spreading,p_spreading_environment,gumbel_params,width,height,N,p_env_knowledge_params,fire_avoidance_radius,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal,parameter,value
6,6,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,18,18,0,18,social_radius,1.0
12,12,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,14,14,2,14,social_radius,1.0
4,4,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,11,12,1,11,social_radius,1.0
1,1,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,13,13,2,13,social_radius,1.0
14,14,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,15,4,15,social_radius,1.0
11,11,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,11,12,1,11,social_radius,1.0
5,5,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,13,14,0,13,social_radius,1.0
15,15,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,15,3,17,social_radius,1.0
7,7,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,13,14,2,13,social_radius,1.0
0,0,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,18,18,1,18,social_radius,1.0
2,2,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,6,7,1,7,social_radius,1.0
3,3,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,14,16,4,17,social_radius,1.0
17,17,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,16,17,0,16,social_radius,1.0
21,21,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,15,0,15,social_radius,1.0
27,27,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,12,12,0,12,social_radius,1.0
26,26,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,13,13,0,13,social_radius,1.0
28,28,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,9,9,0,9,social_radius,1.0
20,20,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,14,15,0,15,social_radius,1.0
29,29,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,18,19,1,18,social_radius,1.0
10,10,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,10,1,10,social_radius,1.0
25,25,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,8,15,0,14,social_radius,1.0
16,16,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,15,25,13,27,social_radius,1.0
13,13,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,1,14,0,14,social_radius,1.0
22,22,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,5,15,2,16,social_radius,1.0
23,23,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,4,15,2,14,social_radius,1.0
24,24,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,5,19,2,20,social_radius,1.0
19,19,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,18,1,17,social_radius,1.0
18,18,149,1,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,0,19,0,19,social_radius,1.0
10,10,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,22,22,0,22,social_radius,2.0
14,14,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,13,13,1,13,social_radius,2.0
15,15,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,39,39,0,39,social_radius,2.0
13,13,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,43,43,1,43,social_radius,2.0
6,6,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,38,39,5,38,social_radius,2.0
9,9,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,48,49,1,48,social_radius,2.0
2,2,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,96,96,25,102,social_radius,2.0
0,0,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,46,46,1,46,social_radius,2.0
7,7,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,41,42,1,42,social_radius,2.0
5,5,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,82,83,9,82,social_radius,2.0
11,11,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,93,93,4,94,social_radius,2.0
12,12,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,89,90,21,96,social_radius,2.0
3,3,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,113,113,17,117,social_radius,2.0
4,4,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,63,63,3,63,social_radius,2.0
8,8,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,111,112,17,113,social_radius,2.0
1,1,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,105,106,8,107,social_radius,2.0
16,16,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,22,22,1,22,social_radius,2.0
19,19,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,39,39,2,39,social_radius,2.0
17,17,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,57,57,3,57,social_radius,2.0
20,20,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,51,51,5,53,social_radius,2.0
18,18,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,51,52,14,53,social_radius,2.0
21,21,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,51,52,1,51,social_radius,2.0
24,24,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,24,25,0,24,social_radius,2.0
26,26,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,34,34,0,34,social_radius,2.0
22,22,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,57,57,1,57,social_radius,2.0
28,28,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,14,14,0,14,social_radius,2.0
27,27,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,17,18,4,17,social_radius,2.0
25,25,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,74,74,5,74,social_radius,2.0
23,23,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,87,87,3,89,social_radius,2.0
29,29,149,2,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,59,59,7,61,social_radius,2.0
13,13,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,17,17,4,17,social_radius,3.0
14,14,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,133,133,24,141,social_radius,3.0
1,1,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,151,151,29,157,social_radius,3.0
6,6,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,135,135,25,140,social_radius,3.0
9,9,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,145,146,27,150,social_radius,3.0
5,5,149,3,5,"[{'location': (12, 24), 'radius': 10}, {'location': (0, 0), 'radius': 10}, {'location': (24, 0), 'radius': 10}]",0.2,0.3,"[1, 0.5, 1, 0.5]",25,25,156,"[0.12, 0.68]",1,149,149,23,155,social_radius,3.0
