2024-06-16 14:54:51,395|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 14:58:36,378|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 14:59:42,797|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:02:29,448|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:05:17,459|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:05:44,587|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:06:43,880|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:07:26,156|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:10:11,917|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-16 15:10:51,979|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-17 14:12:43,684|WARNING:[animation.py:1057                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
