social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,RunId,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
1.09375,19.53125,2.34375,0.9968750000000001,0.9968750000000001,116.0,121.0,45.0,139.0,
1.09375,19.53125,2.34375,0.790625,0.5843750000000001,152.0,152.0,46.0,167.0,
1.09375,19.53125,2.34375,0.790625,0.9968750000000001,98.0,99.0,53.0,118.0,
1.71875,17.96875,17.96875,0.446875,0.034375,113.0,113.0,0.0,113.0,
3.59375,17.96875,17.96875,0.446875,0.034375,151.0,152.0,0.0,151.0,
1.71875,7.03125,17.96875,0.446875,0.034375,45.0,46.0,0.0,46.0,
1.71875,17.96875,14.84375,0.446875,0.034375,122.0,122.0,0.0,122.0,
1.71875,17.96875,17.96875,0.24062500000000003,0.034375,112.0,114.0,1.0,113.0,
1.71875,17.96875,17.96875,0.446875,0.446875,149.0,150.0,2.0,149.0,
1.71875,7.03125,14.84375,0.24062500000000003,0.446875,35.0,35.0,0.0,35.0,
3.59375,17.96875,14.84375,0.24062500000000003,0.446875,152.0,152.0,22.0,153.0,
3.59375,7.03125,17.96875,0.24062500000000003,0.446875,90.0,91.0,0.0,90.0,
3.59375,7.03125,14.84375,0.446875,0.446875,33.0,33.0,1.0,33.0,
3.59375,7.03125,14.84375,0.24062500000000003,0.034375,142.0,142.0,0.0,142.0,
3.59375,7.03125,14.84375,0.24062500000000003,0.446875,59.0,60.0,2.0,59.0,
2.34375,2.34375,21.09375,0.309375,0.171875,18.0,18.0,0.0,18.0,
4.21875,2.34375,21.09375,0.309375,0.171875,0.0,0.0,0.0,0.0,
2.34375,22.65625,21.09375,0.309375,0.171875,152.0,152.0,0.0,152.0,
2.34375,2.34375,5.46875,0.309375,0.171875,26.0,26.0,3.0,27.0,
2.34375,2.34375,21.09375,0.6531250000000001,0.171875,24.0,24.0,0.0,24.0,
2.34375,2.34375,21.09375,0.309375,0.5843750000000001,19.0,19.0,0.0,19.0,
2.34375,22.65625,5.46875,0.6531250000000001,0.5843750000000001,152.0,152.0,65.0,177.0,
4.21875,2.34375,5.46875,0.6531250000000001,0.5843750000000001,0.0,0.0,0.0,0.0,
4.21875,22.65625,21.09375,0.6531250000000001,0.5843750000000001,152.0,152.0,3.0,152.0,
4.21875,22.65625,5.46875,0.309375,0.5843750000000001,152.0,152.0,68.0,168.0,
4.21875,22.65625,5.46875,0.6531250000000001,0.171875,149.0,152.0,59.0,171.0,
4.21875,22.65625,5.46875,0.6531250000000001,0.5843750000000001,152.0,152.0,93.0,175.0,
4.84375,14.84375,8.59375,0.8593750000000001,0.721875,151.0,152.0,60.0,157.0,
1.71875,14.84375,8.59375,0.8593750000000001,0.721875,72.0,73.0,17.0,73.0,
4.84375,10.15625,8.59375,0.8593750000000001,0.721875,152.0,152.0,71.0,158.0,
4.84375,14.84375,17.96875,0.8593750000000001,0.721875,152.0,152.0,14.0,152.0,
4.84375,14.84375,8.59375,0.10312500000000001,0.721875,150.0,150.0,59.0,156.0,
4.84375,14.84375,8.59375,0.8593750000000001,0.034375,149.0,152.0,25.0,154.0,
4.84375,10.15625,17.96875,0.10312500000000001,0.034375,118.0,118.0,4.0,118.0,
1.71875,14.84375,17.96875,0.10312500000000001,0.034375,82.0,83.0,0.0,83.0,
