Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
52,51,115,38,49,47,48,60,53,56,75,72,37,64,78,51,92,50,52,88,53,54,58,47,53,69,57,66,61,64
53,51,117,38,51,48,48,60,54,58,75,72,37,64,78,51,94,51,52,89,53,55,58,47,53,69,58,66,61,64
54,51,119,38,51,49,49,60,54,58,76,73,38,64,78,51,95,51,52,90,53,55,59,49,53,70,58,66,61,64
56,51,119,40,51,50,50,60,56,58,77,74,38,65,79,53,95,51,53,90,53,56,60,49,53,70,58,66,62,64
56,51,120,40,51,50,50,60,56,59,78,74,42,65,79,55,95,51,54,90,53,57,60,51,53,70,58,66,62,64
57,51,120,40,53,50,51,60,57,61,78,74,43,66,81,56,95,51,54,91,53,58,61,52,54,72,58,67,62,64
57,51,121,40,53,50,52,60,57,62,79,75,44,66,82,56,95,51,54,91,54,58,62,55,54,72,58,67,62,64
57,51,121,40,53,50,52,61,58,62,79,75,44,66,85,56,95,53,55,92,54,59,64,56,54,73,58,67,62,66
57,51,121,40,53,51,52,61,58,63,80,76,45,66,85,57,96,54,55,92,55,60,65,57,55,73,59,67,63,67
57,52,121,41,53,54,53,62,58,63,80,77,47,67,88,58,96,56,56,92,57,61,65,58,55,74,59,67,64,67
58,53,122,41,53,54,53,63,58,63,80,77,49,67,89,60,96,56,57,92,59,61,66,59,55,75,59,67,64,67
58,53,123,41,53,55,54,63,58,63,80,78,49,68,91,62,96,56,57,94,59,62,67,59,55,76,59,69,64,67
58,53,123,41,53,56,54,65,59,63,83,78,49,70,93,63,96,57,57,95,59,62,67,59,55,76,59,69,65,67
58,53,123,42,53,56,55,65,60,64,83,80,49,70,93,63,96,57,58,96,59,62,67,60,55,77,60,69,65,67
