Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
16,22,0,9,0,41,42,38,13,68,1,47,55,57,13,37,16,70,15,47,16,7,42,54,48,22,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,47,55,57,13,37,16,70,15,47,16,7,42,54,48,22,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,47,55,57,13,37,16,70,15,47,16,7,42,54,48,23,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,48,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,48,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,48,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,24,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,13,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,14,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,49,55,57,15,37,16,70,15,47,16,7,42,54,48,26,48,18,0,1
